name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
025.69,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21739.797,"[0.0161, 15.2915, 117.9816, 644.3887, 3000.4421, 17901.1584, 16.8393]",535453,298,5.2513369835054124
025.70,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21941.759,"[0.0131, 14.0933, 119.9839, 643.3914, 3008.4543, 18093.7026, 18.2347]",455921,298,5.20300127259624
025.71,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21850.8464,"[0.0159, 14.5084, 117.9627, 649.0201, 3008.1968, 18000.7098, 15.9389]",493204,298,5.224648872182819
025.72,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21905.2758,"[0.0168, 13.9787, 120.4108, 650.4277, 3006.7364, 18050.6011, 15.4117]",462033,298,5.211666862464247
025.73,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21836.0101,"[0.0145, 14.1873, 117.1366, 646.9341, 2996.5208, 18001.7006, 15.3248]",458306,298,5.228198717493724
025.74,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21772.3046,"[0.0148, 14.3025, 119.0007, 644.7559, 3004.452, 17928.6354, 15.4325]",536104,298,5.2434963637243985
025.75,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21829.7803,"[0.0149, 14.7028, 120.3511, 646.37, 2988.8391, 18000.1208, 16.0444]",445543,298,5.229690744986564
025.76,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21936.1398,"[0.0132, 14.407, 121.1201, 645.9626, 3005.5126, 18088.2592, 15.9938]",513970,298,5.204334082517107
025.77,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21851.0077,"[0.0165, 14.2, 118.7136, 647.2296, 2998.5766, 18013.4369, 15.3324]",449804,298,5.224610304814456
025.78,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21899.9094,"[0.0122, 14.7735, 120.6916, 653.4786, 3002.034, 18050.2521, 15.523]",439275,298,5.212943940306895
025.79,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21938.5757,"[0.0148, 13.9784, 117.7434, 647.1321, 3020.25, 18081.073, 14.7924]",449473,298,5.203756231084773
