name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
025.71,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21316.3376,"[0.016, 14.3679, 122.7065, 645.1201, 2985.0477, 17491.7679, 15.1242]",459502,298,5.355657343313985
025.72,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21368.8883,"[0.0145, 15.2292, 118.9663, 646.3512, 2963.6903, 17566.0115, 16.4528]",455058,298,5.342486628094734
025.73,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21767.0664,"[0.0158, 14.7791, 121.1341, 652.427, 3022.3052, 17898.5311, 15.5721]",504714,298,5.244758200397643
025.74,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21506.7635,"[0.0146, 14.3641, 120.0027, 645.8041, 3017.8875, 17641.4541, 19.4618]",448680,298,5.308237104109133
025.75,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21357.8248,"[0.0189, 14.2474, 118.2409, 642.5392, 2993.0303, 17533.0199, 15.4504]",460306,298,5.345254072877309
025.76,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21588.347,"[0.0172, 14.3695, 121.682, 635.2191, 2994.2125, 17761.4909, 15.2789]",477716,298,5.288176996599137
025.77,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21596.1767,"[0.0149, 14.8416, 121.317, 644.5672, 3007.7002, 17749.5897, 15.8249]",522426,298,5.286259766526174
025.78,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21822.5232,"[0.0151, 14.0587, 120.8162, 644.8545, 3014.2838, 17969.8717, 15.8209]",442875,298,5.231429883415132
025.79,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21705.7236,"[0.017, 14.3709, 120.1651, 649.8629, 3031.2212, 17831.725, 15.8253]",496277,298,5.259580473050896
025.80,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21877.7708,"[0.0158, 14.6655, 125.3471, 638.3973, 3028.3448, 18012.2042, 15.7444]",447124,298,5.218219033540657
025.81,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21799.9343,"[0.0167, 14.105, 120.1085, 647.6885, 3029.4234, 17927.7245, 15.7111]",456188,298,5.236850645004008
025.82,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21430.0157,"[0.0159, 14.3408, 120.5594, 641.6275, 2988.759, 17606.5108, 15.5523]",433313,298,5.327247613729
025.83,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21369.5112,"[0.0156, 14.5738, 120.5135, 642.0999, 2962.3791, 17565.2178, 16.6925]",490545,298,5.342330899922502
025.84,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21463.592,"[0.0162, 15.5663, 123.2823, 643.4118, 2988.6146, 17633.9228, 14.3571]",439317,298,5.318914000974301
025.85,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21974.6714,"[0.0157, 15.0122, 120.3165, 644.8233, 3013.2157, 18121.6814, 16.8331]",439778,298,5.19520851629208
025.86,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21508.6205,"[0.0149, 15.4663, 123.8406, 636.7165, 2983.7375, 17691.6647, 15.1616]",449174,298,5.3077788043170875
025.87,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21586.7778,"[0.016, 14.6949, 120.4573, 635.7821, 2968.6462, 17788.3041, 16.189]",432785,298,5.288561408178297
025.88,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21742.9332,"[0.0206, 14.8366, 117.9731, 642.995, 3014.6558, 17895.3662, 15.0499]",493367,298,5.250579530824296
025.89,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21386.0936,"[0.0185, 14.6989, 120.509, 638.6261, 2994.3422, 17554.672, 19.5013]",457906,298,5.338188550713161
025.90,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21424.6853,"[0.016, 14.3201, 119.0786, 638.1935, 2985.2601, 17610.113, 15.3507]",469586,298,5.328573017592935
025.91,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21757.59,"[0.0171, 14.3405, 118.7341, 643.032, 3036.0543, 17884.2945, 15.1562]",459880,298,5.24704252630921
025.92,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21393.0691,"[0.0164, 14.4347, 121.1215, 648.4792, 2985.1164, 17565.718, 15.6107]",481497,298,5.336447962017754
025.93,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21500.3581,"[0.0152, 14.9574, 117.7529, 649.8148, 2993.2594, 17663.5947, 15.5492]",447024,298,5.3098185373945
025.94,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21369.6167,"[0.0177, 15.0895, 124.5387, 648.2402, 2992.5582, 17528.7636, 16.4039]",489476,298,5.342304525284256
025.95,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21857.0606,"[0.0159, 14.4802, 121.9841, 645.3323, 3021.4594, 17993.3295, 15.3005]",514835,298,5.223163447696164
025.96,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21949.3189,"[0.0167, 14.4383, 119.5027, 645.2076, 3062.2482, 18049.426, 15.7495]",476014,298,5.201209227499082
025.97,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21749.9781,"[0.0209, 14.669, 121.0913, 639.1178, 3041.1, 17875.3903, 15.4455]",449374,298,5.248878848296403
025.98,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21400.051,"[0.0165, 13.5954, 118.9297, 645.1401, 2972.5959, 17588.903, 15.3937]",463747,298,5.334706912614367
025.99,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21500.4256,"[0.0149, 14.4313, 118.2423, 649.7062, 3001.9374, 17645.6748, 19.9951]",461178,298,5.309801867363966
74L85.025,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21555.7984,"[0.0165, 14.1778, 123.8837, 640.9933, 2964.0631, 17754.415, 15.8311]",462132,298,5.296161983032834
